,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,INGLES,PERFIL,NOME,MATRICULA
0,0,0,0,0,6.2,5.8,4.6,5.9,2,4,3,0.0,EXATAS,NONE,3413251
1,0,0,0,0,6.0,6.2,5.2,4.5,2,4,3,1.0,EXATAS,NONE,3413251
2,0,0,0,0,7.3,6.7,7.1,7.2,5,0,3,0.0,HUMANAS,NONE,3413251
3,1,3,1,1,0.0,0.0,0.0,0.0,4,4,4,1.0,DIFICULDADE,NONE,3413251
4,1,3,1,1,0.0,0.0,0.0,0.0,5,2,5,1.0,DIFICULDADE,NONE,3413251
5,0,0,0,0,7.3,7.4,7.6,6.5,5,3,5,1.0,HUMANAS,NONE,3413251
6,0,0,0,0,5.8,6.0,7.3,5.1,5,2,6,1.0,DIFICULDADE,NONE,3413251
7,0,0,0,0,4.9,5.0,5.9,4.6,2,2,6,1.0,DIFICULDADE,NONE,3413251
8,0,0,0,0,4.4,4.8,4.7,4.6,3,4,4,1.0,DIFICULDADE,NONE,3413251
9,0,0,0,0,6.4,5.4,5.0,5.5,3,5,3,1.0,EXATAS,NONE,3413251
10,0,0,0,0,6.9,7.5,7.3,6.0,3,5,5,0.0,MUITO_BOM,NONE,3413251
11,3,1,1,1,0.0,0.0,0.0,0.0,0,1,7,1.0,DIFICULDADE,NONE,3413251
12,1,1,1,1,0.0,0.0,0.0,0.0,7,5,5,1.0,DIFICULDADE,NONE,3413251
13,3,1,1,1,0.0,0.0,0.0,0.0,6,5,3,0.0,DIFICULDADE,NONE,3413251
14,1,3,1,1,0.0,0.0,0.0,0.0,5,2,6,1.0,DIFICULDADE,NONE,3413251
15,0,0,0,0,6.6,4.4,4.9,4.7,4,2,4,1.0,EXATAS,NONE,3413251
16,0,0,0,0,6.1,4.7,6.5,5.3,4,5,3,0.0,EXATAS,NONE,3413251
17,0,0,0,0,5.5,5.1,6.2,4.7,2,3,6,1.0,EXATAS,NONE,3413251
18,0,0,0,0,6.7,6.5,7.0,5.6,7,5,3,1.0,HUMANAS,NONE,3413251
19,0,0,0,0,5.4,5.2,5.0,5.8,1,3,5,1.0,EXATAS,NONE,3413251
20,0,0,0,0,5.3,4.8,4.8,5.3,3,4,4,0.0,DIFICULDADE,NONE,3413251
21,0,0,0,0,7.0,7.4,7.3,7.0,15,5,2,1.0,HUMANAS,NONE,3413251
22,0,0,0,0,8.0,8.4,10.0,8.5,10,6,2,0.0,EXCELENTE,NONE,3413251
23,0,0,0,0,6.9,6.8,5.5,6.3,8,4,5,0.0,EXATAS,NONE,3413251
24,0,0,0,0,6.1,5.2,5.6,5.2,4,5,3,1.0,EXATAS,NONE,3413251
25,1,1,1,1,0.0,0.0,0.0,0.0,2,0,3,1.0,DIFICULDADE,NONE,3413251
26,0,0,0,0,7.2,7.4,8.1,7.566666666666666,3,5,2,1.0,HUMANAS,NONE,3413251
27,0,0,0,0,4.5,4.9,5.5,4.966666666666667,5,2,6,1.0,DIFICULDADE,NONE,3413251
28,0,0,0,0,6.7,7.0,5.9,5.6,5,4,4,0.0,MUITO_BOM,NONE,3413251
29,0,0,0,0,6.2,6.0,5.0,4.3,5,3,6,1.0,DIFICULDADE,NONE,3413251
30,0,0,0,0,6.8,7.1,7.9,5.8,1,4,6,0.0,HUMANAS,NONE,3413251
31,0,0,0,0,5.9,6.2,5.7,6.3,3,3,4,1.0,EXATAS,NONE,3413251
32,0,0,0,0,5.7,4.9,5.0,5.2,5,1,3,1.0,DIFICULDADE,NONE,3413251
33,0,0,0,0,6.8,5.9,6.7,6.2,4,2,3,0.0,HUMANAS,NONE,3413251
34,0,0,0,0,6.1,6.4,5.4,5.4,2,2,6,1.0,DIFICULDADE,NONE,3413251
35,0,0,0,0,6.0,6.2,5.4,6.4,2,4,4,1.0,EXATAS,NONE,3413251
36,0,0,0,0,6.6,6.9,5.2,6.233333333333334,15,5,5,1.0,EXATAS,NONE,3413251
37,0,0,0,0,6.4,5.7,5.0,5.7,5,5,3,0.0,EXATAS,NONE,3413251
38,0,0,0,0,7.3,7.2,7.6,7.366666666666667,13,5,3,1.0,HUMANAS,NONE,3413251
39,0,0,0,0,6.6,6.0,6.5,6.2,2,0,3,1.0,EXATAS,NONE,3413251
40,0,0,0,0,7.3,8.1,7.1,7.5,3,5,2,0.0,MUITO_BOM,NONE,3413251
41,0,0,0,0,5.9,5.7,5.6,5.6,3,2,5,1.0,EXATAS,NONE,3413251
42,1,1,1,1,0.0,0.0,0.0,0.0,6,0,3,0.0,DIFICULDADE,NONE,3413251
43,0,0,0,0,4.7,5.9,5.0,4.5,5,1,7,1.0,DIFICULDADE,NONE,3413251
44,1,1,1,1,0.0,0.0,0.0,0.0,2,3,3,1.0,DIFICULDADE,NONE,3413251
45,0,0,0,0,5.5,5.2,7.5,5.4,9,4,4,1.0,HUMANAS,NONE,3413251
46,0,0,0,0,6.5,5.9,5.4,4.8,0,3,5,1.0,EXATAS,NONE,3413251
47,0,0,1,1,4.7,5.1,0.0,0.0,3,3,5,1.0,DIFICULDADE,NONE,3413251
48,0,0,0,0,5.5,6.2,6.0,5.8,5,6,6,1.0,EXATAS,NONE,3413251
49,0,0,0,0,6.8,6.2,7.1,6.4,9,3,4,0.0,MUITO_BOM,NONE,3413251
50,0,0,0,0,6.2,5.5,4.9,4.3,7,2,3,0.0,EXATAS,NONE,3413251
51,0,0,0,0,6.5,6.7,7.3,5.3,3,0,3,0.0,HUMANAS,NONE,3413251
52,0,0,0,0,6.2,6.2,4.8,6.0,10,5,1,0.0,DIFICULDADE,NONE,3413251
53,0,0,0,0,6.0,5.3,4.9,5.0,1,2,6,1.0,DIFICULDADE,NONE,3413251
54,0,0,0,0,4.9,5.2,5.5,5.7,0,2,1,1.0,EXATAS,NONE,3413251
55,1,1,1,3,0.0,0.0,0.0,0.0,2,2,5,1.0,DIFICULDADE,NONE,3413251
56,0,0,0,0,7.6,7.2,6.8,6.4,3,0,3,1.0,HUMANAS,NONE,3413251
57,0,0,0,0,5.7,4.3,5.7,5.233333333333333,0,0,8,1.0,EXATAS,NONE,3413251
58,1,1,1,1,0.0,0.0,0.0,0.0,21,6,2,0.0,DIFICULDADE,NONE,3413251
59,0,0,1,1,5.2,4.9,0.0,0.0,3,2,6,1.0,DIFICULDADE,NONE,3413251
60,0,0,0,0,5.2,5.2,5.9,5.433333333333334,2,4,4,1.0,DIFICULDADE,NONE,3413251
61,0,0,0,0,6.1,5.5,5.1,5.6,0,2,6,1.0,EXATAS,NONE,3413251
62,0,0,0,0,7.4,6.6,5.7,6.566666666666667,0,5,3,1.0,EXATAS,NONE,3413251
63,0,0,0,0,6.8,7.4,8.7,7.6,2,5,3,1.0,MUITO_BOM,NONE,3413251
64,1,1,1,1,0.0,0.0,0.0,0.0,1,0,6,1.0,DIFICULDADE,NONE,3413251
65,0,0,0,0,6.4,5.5,4.9,6.2,5,0,3,1.0,DIFICULDADE,NONE,3413251
66,0,0,0,0,6.0,5.8,4.9,5.566666666666666,6,3,5,1.0,EXATAS,NONE,3413251
67,0,0,0,0,6.5,6.0,6.9,6.2,8,0,1,0.0,HUMANAS,NONE,3413251
68,0,0,0,0,6.1,5.8,5.3,5.733333333333333,7,2,4,1.0,DIFICULDADE,NONE,3413251
69,0,0,0,0,6.7,6.7,6.8,6.3,4,3,4,1.0,HUMANAS,NONE,3413251
70,0,0,0,0,6.6,4.7,5.6,4.4,1,3,5,1.0,EXATAS,NONE,3413251
71,0,0,0,0,6.1,4.6,4.7,5.1,7,5,3,0.0,EXATAS,NONE,3413251
72,0,0,0,0,6.1,6.5,4.6,5.0,0,2,3,1.0,EXATAS,NONE,3413251
73,1,1,1,1,0.0,0.0,0.0,0.0,3,3,6,1.0,DIFICULDADE,NONE,3413251
74,0,0,3,1,4.7,4.8,0.0,0.0,3,5,5,1.0,DIFICULDADE,NONE,3413251
75,0,0,0,0,6.2,6.0,4.9,6.3,3,2,2,1.0,EXATAS,NONE,3413251
76,0,0,0,0,7.5,7.3,8.1,6.0,4,5,3,0.0,HUMANAS,NONE,3413251
77,0,0,0,0,7.1,6.2,7.7,7.0,2,5,3,0.0,HUMANAS,NONE,3413251
78,0,0,0,0,7.6,7.7,7.9,7.733333333333334,17,7,2,1.0,MUITO_BOM,NONE,3413251
79,0,0,0,0,5.7,5.6,5.2,5.7,2,5,3,1.0,DIFICULDADE,NONE,3413251
80,0,0,0,0,5.2,5.0,4.6,5.0,4,0,4,0.0,EXATAS,NONE,3413251
81,0,0,0,0,6.4,5.9,6.5,4.7,9,2,3,1.0,EXATAS,NONE,3413251
82,0,0,0,0,7.1,6.5,5.9,6.5,4,3,6,0.0,EXATAS,NONE,3413251
83,0,0,0,0,7.1,7.0,8.3,7.8,5,4,2,0.0,HUMANAS,NONE,3413251
84,0,0,0,0,5.9,6.4,7.5,4.6,5,2,4,1.0,MUITO_BOM,NONE,3413251
85,1,1,1,1,0.0,0.0,0.0,0.0,7,7,4,0.0,DIFICULDADE,NONE,3413251
86,0,0,0,0,7.1,7.3,7.3,7.1,4,5,3,0.0,HUMANAS,NONE,3413251
87,1,3,3,1,0.0,0.0,0.0,0.0,5,3,5,1.0,DIFICULDADE,NONE,3413251
88,0,0,0,0,6.3,5.3,6.7,5.9,3,2,6,1.0,HUMANAS,NONE,3413251
89,1,1,1,1,0.0,0.0,0.0,0.0,5,5,5,1.0,DIFICULDADE,NONE,3413251
90,1,1,1,3,0.0,0.0,0.0,0.0,2,1,5,1.0,DIFICULDADE,NONE,3413251
91,0,0,0,0,5.4,6.2,5.3,4.6,2,3,5,1.0,DIFICULDADE,NONE,3413251
92,0,0,0,0,6.3,4.9,6.7,6.3,3,4,3,1.0,HUMANAS,NONE,3413251
93,0,0,0,0,6.6,6.1,6.0,6.233333333333333,4,4,3,1.0,EXATAS,NONE,3413251
94,0,0,0,0,6.5,4.3,5.8,5.9,3,5,6,1.0,EXATAS,NONE,3413251
95,0,0,0,0,5.5,6.2,5.3,5.3,5,3,7,1.0,EXATAS,NONE,3413251
96,0,0,0,0,7.1,6.4,6.4,6.633333333333333,5,2,6,1.0,EXATAS,NONE,3413251
97,0,0,0,0,5.8,5.8,4.9,5.3,2,5,3,1.0,EXATAS,NONE,3413251
98,1,1,1,1,0.0,0.0,0.0,0.0,3,1,7,0.0,DIFICULDADE,NONE,3413251
99,0,0,0,0,6.6,6.0,5.3,5.3,2,0,8,0.0,EXATAS,NONE,3413251
100,1,1,1,1,0.0,0.0,0.0,0.0,7,5,3,1.0,DIFICULDADE,NONE,3413251
101,0,0,0,0,5.4,5.8,5.5,4.4,3,2,5,1.0,DIFICULDADE,NONE,3413251
102,1,1,1,1,0.0,0.0,0.0,0.0,2,0,8,0.0,DIFICULDADE,NONE,3413251
103,0,0,0,0,6.9,7.4,6.9,5.7,13,6,3,1.0,HUMANAS,NONE,3413251
104,0,0,0,0,7.9,7.2,9.4,7.9,12,5,4,1.0,EXCELENTE,NONE,3413251
105,1,1,3,3,0.0,0.0,0.0,0.0,4,5,6,1.0,DIFICULDADE,NONE,3413251
106,0,0,0,0,6.7,6.9,8.8,7.2,14,6,2,0.0,HUMANAS,NONE,3413251
107,0,0,0,0,6.2,5.6,5.6,5.8,2,1,6,1.0,EXATAS,NONE,3413251
108,0,0,0,0,6.9,7.2,6.2,5.3,2,5,5,1.0,EXATAS,NONE,3413251
109,0,0,0,0,7.2,7.1,7.7,5.8,5,2,3,0.0,HUMANAS,NONE,3413251
110,0,0,0,0,5.8,4.9,5.4,4.6,1,2,6,1.0,DIFICULDADE,NONE,3413251
111,0,0,0,0,7.2,7.1,6.5,6.933333333333334,8,4,5,0.0,EXATAS,NONE,3413251
112,0,0,1,1,4.9,5.4,0.0,0.0,3,0,8,0.0,DIFICULDADE,NONE,3413251
113,1,1,1,1,0.0,0.0,0.0,0.0,2,3,4,0.0,DIFICULDADE,NONE,3413251
114,1,1,1,1,0.0,0.0,0.0,0.0,3,0,6,1.0,DIFICULDADE,NONE,3413251
115,0,0,0,0,6.1,6.9,7.6,6.866666666666667,5,3,5,0.0,HUMANAS,NONE,3413251
116,0,0,0,0,5.5,6.6,7.6,5.8,7,0,3,1.0,HUMANAS,NONE,3413251
117,0,0,0,0,6.5,7.1,6.8,7.0,3,4,4,0.0,HUMANAS,NONE,3413251
118,0,0,0,0,4.3,5.9,6.9,5.5,4,0,4,1.0,HUMANAS,NONE,3413251
119,0,0,0,0,6.3,5.2,6.9,5.2,5,3,3,1.0,HUMANAS,NONE,3413251
120,0,0,0,0,6.5,5.1,5.3,5.2,2,3,5,1.0,EXATAS,NONE,3413251
121,1,1,1,1,0.0,0.0,0.0,0.0,1,3,6,1.0,DIFICULDADE,NONE,3413251
122,1,3,1,3,0.0,0.0,0.0,0.0,5,4,5,0.0,DIFICULDADE,NONE,3413251
123,1,3,3,3,0.0,0.0,0.0,0.0,4,5,3,1.0,DIFICULDADE,NONE,3413251
124,0,0,0,0,6.5,6.2,5.7,4.9,4,4,4,1.0,EXATAS,NONE,3413251
125,0,0,0,0,5.8,5.6,6.4,5.5,4,4,3,0.0,DIFICULDADE,NONE,3413251
126,0,0,0,0,5.8,5.2,5.6,5.0,2,2,3,1.0,EXATAS,NONE,3413251
127,0,0,0,0,6.4,6.7,5.0,5.5,3,0,8,1.0,EXATAS,NONE,3413251
128,0,0,0,0,6.5,5.6,6.6,6.1,0,2,5,1.0,HUMANAS,NONE,3413251
129,0,0,1,1,6.8,6.1,0.0,0.0,4,5,3,1.0,DIFICULDADE,NONE,3413251
130,0,0,0,0,5.1,4.5,4.5,4.5,3,5,3,1.0,DIFICULDADE,NONE,3413251
131,0,0,0,0,6.8,6.5,7.3,5.0,4,6,4,1.0,HUMANAS,NONE,3413251
132,1,1,1,1,0.0,0.0,0.0,0.0,8,0,3,1.0,DIFICULDADE,NONE,3413251
133,1,1,3,3,0.0,0.0,0.0,0.0,3,4,3,1.0,DIFICULDADE,NONE,3413251
134,0,0,1,1,4.9,5.2,0.0,0.0,3,2,6,1.0,DIFICULDADE,NONE,3413251
135,0,0,0,0,5.8,5.5,4.9,5.3,8,2,6,1.0,DIFICULDADE,NONE,3413251
136,0,0,0,0,6.4,5.7,6.8,6.3,3,3,5,1.0,HUMANAS,NONE,3413251
137,0,0,0,0,7.1,7.5,6.6,6.5,6,4,6,1.0,MUITO_BOM,NONE,3413251
138,0,0,0,0,5.3,6.2,5.7,5.4,16,0,1,1.0,EXATAS,NONE,3413251
139,0,0,0,0,6.9,6.6,5.6,6.366666666666667,4,0,8,1.0,EXATAS,NONE,3413251
140,0,0,0,0,6.5,6.7,5.4,5.1,2,2,6,1.0,EXATAS,NONE,3413251
141,0,0,0,0,6.1,5.9,7.0,5.3,5,5,3,1.0,HUMANAS,NONE,3413251
142,0,0,0,0,6.0,5.4,6.7,4.6,5,5,4,1.0,DIFICULDADE,NONE,3413251
143,0,0,0,0,6.4,5.8,6.0,6.1,2,2,5,1.0,EXATAS,NONE,3413251
144,1,1,1,1,0.0,0.0,0.0,0.0,1,2,6,1.0,DIFICULDADE,NONE,3413251
145,0,0,0,0,6.4,5.8,5.4,5.866666666666667,3,2,6,1.0,DIFICULDADE,NONE,3413251
146,0,0,0,0,5.5,5.5,5.5,5.3,13,2,3,1.0,EXATAS,NONE,3413251
147,3,3,1,1,0.0,0.0,0.0,0.0,3,5,4,1.0,DIFICULDADE,NONE,3413251
148,0,0,0,0,6.7,6.8,5.6,6.2,5,1,7,0.0,EXATAS,NONE,3413251
149,0,0,0,0,6.4,7.1,5.3,6.5,8,5,3,0.0,EXATAS,NONE,3413251
150,0,0,0,0,7.1,6.9,5.6,6.533333333333334,5,7,3,1.0,EXATAS,NONE,3413251
151,1,3,1,1,0.0,0.0,0.0,0.0,3,1,3,1.0,DIFICULDADE,NONE,3413251
152,0,0,0,0,6.2,5.6,5.4,6.0,5,2,3,1.0,EXATAS,NONE,3413251
153,0,0,0,0,5.6,5.1,5.1,5.3,2,1,7,1.0,EXATAS,NONE,3413251
154,0,0,0,0,5.8,6.8,6.3,5.5,3,6,3,0.0,EXATAS,NONE,3413251
155,0,0,0,0,6.6,7.2,6.1,7.1,5,5,2,0.0,EXATAS,NONE,3413251
156,0,0,0,0,5.9,6.0,6.0,5.966666666666666,5,0,6,1.0,DIFICULDADE,NONE,3413251
157,0,0,0,0,5.8,6.9,5.1,7.1,2,2,5,1.0,EXATAS,NONE,3413251
158,0,0,0,0,6.3,5.1,6.2,5.2,6,5,2,1.0,EXATAS,NONE,3413251
159,0,0,0,0,5.3,4.2,5.7,4.6,4,2,5,0.0,DIFICULDADE,NONE,3413251
160,0,0,0,0,5.6,5.3,4.6,5.6,4,2,6,0.0,DIFICULDADE,NONE,3413251
161,0,0,0,0,6.1,6.3,5.1,5.4,2,4,4,1.0,EXATAS,NONE,3413251
